timestamp,consumption
datetime,float
T,
2015/01/05,17408.71
2015/01/06,16883.19
2015/01/07,16885.33
2015/01/08,17167.10
2015/01/09,17197.73
2015/01/13,17087.71
2015/01/14,16795.96
2015/01/15,17108.70
2015/01/16,16864.16
2015/01/19,17014.29
2015/01/20,17366.30
2015/01/21,17280.48
2015/01/22,17329.02
2015/01/23,17511.75
2015/01/26,17468.52
2015/01/27,17768.30
2015/01/28,17795.73
2015/01/29,17606.22
2015/01/30,17674.39
2015/02/02,17558.04
2015/02/03,17335.85
2015/02/04,17678.74
2015/02/05,17504.62
2015/02/06,17648.50
2015/02/09,17711.93
2015/02/10,17652.68
2015/02/12,17979.72
2015/02/13,17913.36
2015/02/16,18004.77
2015/02/17,17987.09
2015/02/18,18199.17
2015/02/19,18264.79
2015/02/20,18332.30
2015/02/23,18466.92
2015/02/24,18603.48
2015/02/25,18585.20
2015/02/26,18785.79
2015/02/27,18797.94
2015/03/02,18826.88
2015/03/03,18815.16
2015/03/04,18703.60
2015/03/05,18751.84
2015/03/06,18971.00
2015/03/09,18790.55
2015/03/10,18665.11
2015/03/11,18723.52
2015/03/12,18991.11
2015/03/13,19254.25
2015/03/16,19246.06
2015/03/17,19437.00
2015/03/18,19544.48
2015/03/19,19476.56
2015/03/20,19560.22
2015/03/23,19754.36
2015/03/24,19713.45
2015/03/25,19746.20
2015/03/26,19471.12
2015/03/27,19285.63
2015/03/30,19411.40
2015/03/31,19206.99
2015/04/01,19034.84
2015/04/02,19312.79
2015/04/03,19435.08
2015/04/06,19397.98
2015/04/07,19640.54
2015/04/08,19789.81
2015/04/09,19937.72
2015/04/10,19907.63
2015/04/13,19905.46
2015/04/14,19908.68
2015/04/15,19869.76
2015/04/16,19885.77
2015/04/17,19652.88
2015/04/20,19634.49
2015/04/21,19909.09
2015/04/22,20133.90
2015/04/23,20187.65
2015/04/24,20020.04
2015/04/27,19983.32
2015/04/28,20058.95
2015/04/30,19520.01
2015/05/01,19531.63
2015/05/07,19291.99
2015/05/08,19379.19
2015/05/11,19620.91
2015/05/12,19624.84
2015/05/13,19764.72
2015/05/14,19570.24
2015/05/15,19732.92
2015/05/18,19890.27
2015/05/19,20026.38
2015/05/20,20196.56
2015/05/21,20202.87
2015/05/22,20264.41
2015/05/25,20413.77
2015/05/26,20437.48
2015/05/27,20472.58
2015/05/28,20551.46
2015/05/29,20563.15
2015/06/01,20569.87
2015/06/02,20543.19
2015/06/03,20473.51
2015/06/04,20488.19
2015/06/05,20460.90
2015/06/08,20457.19
2015/06/09,20096.30
2015/06/10,20046.36
2015/06/11,20382.97
2015/06/12,20407.08
2015/06/15,20387.79
2015/06/16,20257.94
2015/06/17,20219.27
2015/06/18,19990.82
2015/06/19,20174.24
2015/06/22,20428.19
2015/06/23,20809.42
2015/06/24,20868.03
2015/06/25,20771.40
2015/06/26,20706.15
2015/06/29,20109.95
2015/06/30,20235.73
2015/07/01,20329.32
2015/07/02,20522.50
2015/07/03,20539.79
2015/07/06,20112.12
2015/07/07,20376.59
2015/07/08,19737.64
2015/07/09,19855.50
2015/07/10,19779.83
2015/07/13,20089.77
2015/07/14,20385.33
2015/07/15,20463.33
2015/07/16,20600.12
2015/07/17,20650.92
2015/07/21,20841.97
2015/07/22,20593.67
2015/07/23,20683.95
2015/07/24,20544.53
2015/07/27,20350.10
2015/07/28,20328.89
2015/07/29,20302.91
2015/07/30,20522.83
2015/07/31,20585.24
2015/08/03,20548.11
2015/08/04,20520.36
2015/08/05,20614.06
2015/08/06,20664.44
2015/08/07,20724.56
2015/08/10,20808.69
2015/08/11,20720.75
2015/08/12,20392.77
2015/08/13,20595.55
2015/08/14,20519.45
2015/08/17,20620.26
2015/08/18,20554.47
2015/08/19,20222.63
2015/08/20,20033.52
2015/08/21,19435.83
2015/08/24,18540.68
2015/08/25,17806.70
2015/08/26,18376.83
2015/08/27,18574.44
2015/08/28,19136.32
2015/08/31,18890.48
2015/09/01,18165.69
2015/09/02,18095.40
2015/09/03,18182.39
2015/09/04,17792.16
2015/09/07,17860.47
2015/09/08,17427.08
2015/09/09,18770.51
2015/09/10,18299.62
2015/09/11,18264.22
2015/09/14,17965.70
2015/09/15,18026.48
2015/09/16,18171.60
2015/09/17,18432.27
2015/09/18,18070.21
